x,a,l,lp,t,n
11.96,1,0.9993,0.9994,0.007,0.20771089
12.48,1,0.9993,0.9994,0.007,0.21517896
13,1,0.9993,0.9994,0.007,0.22242794
13.52,1,0.9993,0.9994,0.007,0.22858084
14.04,1,0.9993,0.9994,0.007,0.22954325
14.56,1,0.9993,0.9994,0.007,0.21313047
15.08,1,0.9993,0.9994,0.007,0.15694384
15.6,1,0.9993,0.9994,0.007,0.05938435
16.12,1,0.9993,0.9994,0.007,0
16.64,1,0.9993,0.9994,0.007,0
17.16,1,0.9993,0.9994,0.007,0
17.68,1,0.9993,0.9994,0.007,0
18.2,1,0.9993,0.9994,0.007,0
18.72,1,0.9993,0.9994,0.007,0
19.24,1,0.9993,0.9994,0.007,0
19.76,1,0.9993,0.9994,0.007,0
20.28,1,0.9993,0.9994,0.007,0
-5.2,1,0.9992,0.9993,0.008,0
-4.68,1,0.9992,0.9993,0.008,0
-4.16,1,0.9992,0.9993,0.008,0
-3.64,1,0.9992,0.9993,0.008,0
-3.12,1,0.9992,0.9993,0.008,0.00000005
-2.6,1,0.9992,0.9993,0.008,0.00000097
-2.08,1,0.9992,0.9993,0.008,0.00001104
-1.56,1,0.9992,0.9993,0.008,0.00008779
-1.04,1,0.9992,0.9993,0.008,0.00052595
-0.52,1,0.9992,0.9993,0.008,0.00250964
0,1,0.9992,0.9993,0.008,0.00897382
0.52,1,0.9992,0.9993,0.008,0.02099925
1.04,1,0.9992,0.9993,0.008,0.03216899
1.56,1,0.9992,0.9993,0.008,0.04318112
2.08,1,0.9992,0.9993,0.008,0.05403789
2.6,1,0.9992,0.9993,0.008,0.06474151
3.12,1,0.9992,0.9993,0.008,0.07529415
3.64,1,0.9992,0.9993,0.008,0.08569795
4.16,1,0.9992,0.9993,0.008,0.09595503
4.68,1,0.9992,0.9993,0.008,0.10606748
5.2,1,0.9992,0.9993,0.008,0.11603734
5.72,1,0.9992,0.9993,0.008,0.12586664
6.24,1,0.9992,0.9993,0.008,0.13555737
6.76,1,0.9992,0.9993,0.008,0.1451115
7.28,1,0.9992,0.9993,0.008,0.15453097
7.8,1,0.9992,0.9993,0.008,0.16381769
8.32,1,0.9992,0.9993,0.008,0.17297354
8.84,1,0.9992,0.9993,0.008,0.18200037
9.36,1,0.9992,0.9993,0.008,0.19090001
9.88,1,0.9992,0.9993,0.008,0.19967427
10.4,1,0.9992,0.9993,0.008,0.20832492
10.92,1,0.9992,0.9993,0.008,0.21685371
11.44,1,0.9992,0.9993,0.008,0.22526232
11.96,1,0.9992,0.9993,0.008,0.23355037
12.48,1,0.9992,0.9993,0.008,0.24168896
13,1,0.9992,0.9993,0.008,0.24941381
13.52,1,0.9992,0.9993,0.008,0.25524096
14.04,1,0.9992,0.9993,0.008,0.25364998
14.56,1,0.9992,0.9993,0.008,0.23103681
15.08,1,0.9992,0.9993,0.008,0.16621949
15.6,1,0.9992,0.9993,0.008,0.06189998
16.12,1,0.9992,0.9993,0.008,0
16.64,1,0.9992,0.9993,0.008,0
17.16,1,0.9992,0.9993,0.008,0
17.68,1,0.9992,0.9993,0.008,0
18.2,1,0.9992,0.9993,0.008,0
18.72,1,0.9992,0.9993,0.008,0
19.24,1,0.9992,0.9993,0.008,0
19.76,1,0.9992,0.9993,0.008,0
20.28,1,0.9992,0.9993,0.008,0
-5.2,1,0.9991,0.9992,0.009,0
-4.68,1,0.9991,0.9992,0.009,0
-4.16,1,0.9991,0.9992,0.009,0
-3.64,1,0.9991,0.9992,0.009,0.00000001
-3.12,1,0.9991,0.9992,0.009,0.0000002
-2.6,1,0.9991,0.9992,0.009,0.00000252
-2.08,1,0.9991,0.9992,0.009,0.00002213
-1.56,1,0.9991,0.9992,0.009,0.00014647
-1.04,1,0.9991,0.9992,0.009,0.00076742
-0.52,1,0.9991,0.9992,0.009,0.00332544
0,1,0.9991,0.9992,0.009,0.01111699
0.52,1,0.9991,0.9992,0.009,0.02490729
1.04,1,0.9991,0.9992,0.009,0.03740012
1.56,1,0.9991,0.9992,0.009,0.04969482
2.08,1,0.9991,0.9992,0.009,0.06179454
2.6,1,0.9991,0.9992,0.009,0.0737024
3.12,1,0.9991,0.9992,0.009,0.08542145
3.64,1,0.9991,0.9992,0.009,0.0969547
4.16,1,0.9991,0.9992,0.009,0.10830513
4.68,1,0.9991,0.9992,0.009,0.11947563
5.2,1,0.9991,0.9992,0.009,0.13046907
5.72,1,0.9991,0.9992,0.009,0.14128829
6.24,1,0.9991,0.9992,0.009,0.15193604
6.76,1,0.9991,0.9992,0.009,0.16241507
7.28,1,0.9991,0.9992,0.009,0.17272806
7.8,1,0.9991,0.9992,0.009,0.18287765
8.32,1,0.9991,0.9992,0.009,0.19286644
8.84,1,0.9991,0.9992,0.009,0.202697
9.36,1,0.9991,0.9992,0.009,0.21237183
9.88,1,0.9991,0.9992,0.009,0.22189342
10.4,1,0.9991,0.9992,0.009,0.23126421
10.92,1,0.9991,0.9992,0.009,0.24048657
11.44,1,0.9991,0.9992,0.009,0.24956241
11.96,1,0.9991,0.9992,0.009,0.2584863
12.48,1,0.9991,0.9992,0.009,0.26718362
13,1,0.9991,0.9992,0.009,0.27515633
13.52,1,0.9991,0.9992,0.009,0.28017754
14.04,1,0.9991,0.9992,0.009,0.27537479
14.56,1,0.9991,0.9992,0.009,0.24633637
15.08,1,0.9991,0.9992,0.009,0.17368276
15.6,1,0.9991,0.9992,0.009,0.06382266
16.12,1,0.9991,0.9992,0.009,0
16.64,1,0.9991,0.9992,0.009,0
17.16,1,0.9991,0.9992,0.009,0
17.68,1,0.9991,0.9992,0.009,0
18.2,1,0.9991,0.9992,0.009,0
18.72,1,0.9991,0.9992,0.009,0
19.24,1,0.9991,0.9992,0.009,0
19.76,1,0.9991,0.9992,0.009,0
20.28,1,0.9991,0.9992,0.009,0
-5.2,1,0.999,0.9991,0.01,0
-4.68,1,0.999,0.9991,0.01,0
-4.16,1,0.999,0.9991,0.01,0
-3.64,1,0.999,0.9991,0.01,0.00000004
-3.12,1,0.999,0.9991,0.01,0.00000056
-2.6,1,0.999,0.9991,0.01,0.00000541
-2.08,1,0.999,0.9991,0.01,0.00003931
-1.56,1,0.999,0.9991,0.01,0.00022548
-1.04,1,0.999,0.9991,0.01,0.001062
-0.52,1,0.999,0.9991,0.01,0.00425814
0,1,0.999,0.9991,0.01,0.01347302
0.52,1,0.999,0.9991,0.01,0.02908661
1.04,1,0.999,0.9991,0.01,0.04288164
1.56,1,0.999,0.9991,0.01,0.05643379
2.08,1,0.999,0.9991,0.01,0.06974735
2.6,1,0.999,0.9991,0.01,0.08282653
3.12,1,0.999,0.9991,0.01,0.09567549
3.64,1,0.999,0.9991,0.01,0.10829829
4.16,1,0.999,0.9991,0.01,0.12069893
4.68,1,0.999,0.9991,0.01,0.13288134
5.2,1,0.999,0.9991,0.01,0.14484937
5.72,1,0.999,0.9991,0.01,0.15660681
6.24,1,0.999,0.9991,0.01,0.16815739
6.76,1,0.999,0.9991,0.01,0.17950475
7.28,1,0.999,0.9991,0.01,0.19065248
7.8,1,0.999,0.9991,0.01,0.20160411
8.32,1,0.999,0.9991,0.01,0.21236309
8.84,1,0.999,0.9991,0.01,0.22293284
9.36,1,0.999,0.9991,0.01,0.23331669
9.88,1,0.999,0.9991,0.01,0.24351792
10.4,1,0.999,0.9991,0.01,0.25353975
10.92,1,0.999,0.9991,0.01,0.26338524
11.44,1,0.999,0.9991,0.01,0.27305558
11.96,1,0.999,0.9991,0.01,0.28253236
12.48,1,0.999,0.9991,0.01,0.29165935
13,1,0.999,0.9991,0.01,0.29961276
13.52,1,0.999,0.9991,0.01,0.30333595
14.04,1,0.999,0.9991,0.01,0.29478444
14.56,1,0.999,0.9991,0.01,0.2593158
15.08,1,0.999,0.9991,0.01,0.17966695
15.6,1,0.999,0.9991,0.01,0.06529215
16.12,1,0.999,0.9991,0.01,0
16.64,1,0.999,0.9991,0.01,0
17.16,1,0.999,0.9991,0.01,0
17.68,1,0.999,0.9991,0.01,0
18.2,1,0.999,0.9991,0.01,0
18.72,1,0.999,0.9991,0.01,0
19.24,1,0.999,0.9991,0.01,0
19.76,1,0.999,0.9991,0.01,0
20.28,1,0.999,0.9991,0.01,0
-5.2,1,0.9989,0.999,0.011,0
-4.68,1,0.9989,0.999,0.011,0
-4.16,1,0.9989,0.999,0.011,0.00000001
-3.64,1,0.9989,0.999,0.011,0.00000012
-3.12,1,0.9989,0.999,0.011,0.00000129
-2.6,1,0.9989,0.999,0.011,0.00001021
-2.08,1,0.9989,0.999,0.011,0.00006387
-1.56,1,0.9989,0.999,0.011,0.00032662
-1.04,1,0.9989,0.999,0.011,0.00141064
-0.52,1,0.9989,0.999,0.011,0.00530643
0,1,0.9989,0.999,0.011,0.01603836
0.52,1,0.9989,0.999,0.011,0.03353226
1.04,1,0.9989,0.999,0.011,0.04860733
1.56,1,0.9989,0.999,0.011,0.06339068
