x,t,a,l,lp,n
  9.88000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.13260825
 10.40000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.13862330
 10.92000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.14458532
 11.44000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.15049479
 11.96000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.15635218
 12.48000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.16215795
 13.00000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.16767705
 13.52000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.17096094
 14.04000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.16543310
 14.56000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.13994431
 15.08000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.08593194
 15.60000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.02573884
 16.12000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 16.64000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 17.16000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 17.68000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 18.20000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 18.72000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 19.24000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 19.76000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 20.28000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -5.20000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -4.68000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -4.16000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -3.64000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -3.12000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -2.60000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000256
 -2.08000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00003680
 -1.56000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00025661
 -1.04000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00118046
 -0.52000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00411895
  0.00000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.01064924
  0.52000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.01939162
  1.04000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.02780164
  1.56000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.03612251
  2.08000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.04435519
  2.60000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.05250062
  3.12000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.06055975
  3.64000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.06853349
  4.16000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.07642277
  4.68000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.08422849
  5.20000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.09195154
  5.72000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.09959282
  6.24000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.10715319
  6.76000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.11463353
  7.28000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.12203469
  7.80000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.12935752
  8.32000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.13660286
  8.84000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.14377154
  9.36000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.15086437
  9.88000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.15788218
 10.40000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.16482575
 10.92000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.17169590
 11.44000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.17849339
 11.96000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.18521901
 12.48000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.19177817
 13.00000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.19725449
 13.52000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.19792689
 14.04000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.18571352
 14.56000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.15111884
 15.08000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.08983857
 15.60000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.02639579
 16.12000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 16.64000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 17.16000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 17.68000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 18.20000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 18.72000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 19.24000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 19.76000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 20.28000000,  0.00600000,  1.00000000,  0.99880000,  0.99900000,  0.00000000
 -5.20000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00000000
 -4.68000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00000000
 -4.16000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00000000
 -3.64000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00000000
 -3.12000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00000088
 -2.60000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00001384
 -2.08000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00010534
 -1.56000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00052548
 -1.04000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00196703
 -0.52000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.00600967
  0.00000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.01423898
  0.52000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.02464351
  1.04000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.03438159
  1.56000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.04399934
  2.08000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.05349826
  2.60000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.06287983
  3.12000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.07214553
  3.64000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.08129678
  4.16000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.09033502
  4.68000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.09926165
  5.20000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.10807807
  5.72000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.11678565
  6.24000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.12538574
  6.76000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.13387968
  7.28000000,  0.00700000,  1.00000000,  0.99860000,  0.99880000,  0.14226879
